Variable name,Description,Source,Source link
mrkt_blt5,Market-rate housing units built during past 5 years,,
mrkt_blt10,Market-rate housing units built during past 10 years,,
epa_D5AR,"Jobs within 45 minutes auto travel time, time- decay (network travel time) weighted",EPA Smart Location Database,https://www.epa.gov/smartgrowth/smart-location-mapping#Trans45; documentation: https://www.epa.gov/smartgrowth/smart-location-database-technical-documentation-and-user-guide
epa_D5CR,Proportional Accessibility to Regional Destinations - Auto: Employment Accessibility expressed as a ratio of total CBSA Accessibility,,
epa_D5BR,"Jobs within 45-minute transit commute, distance decay (walk network travel time, GTFS schedules) weighted",,
epa_D5DR,Proportional Accessibility of Regional Destinations - Transit: Employment Accessibility expressed as a ratio of total MSA Accessibility,,
epa_NatWalkInd,Walkability Index,,
epa_Pct_AO0,"Percent of zero-car households in CBG, 2018",,
epa_D1C,Gross employment density (jobs/acre) on unprotected land,,
epa_D2A_JPHH,Jobs per household,,
epa_D2R_JOBPOP,Regional Diversity. Standard calculation based on population and total Employment: Deviation of CBG ratio of Jobs/pop from the Regional average ratio of Jobs/pop,,
epa_D2R_WRKEMP,"Household Workers per Job, as compared to the region: Deviation of CBG ratio of household Workers/Job from Regional average ratio of household Workers/Job",,
epa_D2A_WRKEMP,"Household Workers per Job, by CBG",,
epa_D3A,Total road network density,,
epa_D4A,Distance from the population-weighted centroid to nearest Transit stop (meters),,
epa_D4B050,Proportion of CBG Employment within ½ mile of fixedguideway Transit stop,,
epa_D4B025,Proportion of CBG Employment within ¼ mile of fixedguideway Transit stop,,
epa_D4D,Aggregate frequency of Transit service per square mile,,
TRACTCE10,6 digit census tract identifier,,
medNDVI,median NDVI value within respective census tract for shapefile year,,
medLST,median LST value within respective census tract for shapefile year (units - degrees Kelvin),,
greenArea,sum green area within respective census tract classified by GeOBIA Random Forest Classifier (units - m^2),,
waterArea,sum water area within respective census tract classified by GeOBIA Random Forest Classifier (units - m^2),,
urbanArea,sum urban area within respective census tract classified by GeOBIA Random Forest Classifier (units - m^2),,
covNDVI,covariance statististic wrt Time (Independent) and NDVI (Dependent) linear relationship,,
corrNDVI,corelation (R) statististic wrt Time (Independent) and NDVI (Dependent) linear relationship,,
slopeNDVI,Trend slope statististic wrt Time (Independent) and NDVI (Dependent) linear relationship,,
intNDVI,Trend intercept wrt Time (Independent) and NDVI (Dependent) linear relationship,,
tstatNDVI,Student's t-statististic wrt Time (Independent) and NDVI (Dependent) linear relationship,,
stderrNDVI,Standard error wrt Time (Independent) and NDVI (Dependent) linear relationship,,
pvalNDVI,p-value statististic wrt Time (Independent) and NDVI (Dependent) linear relationship,,
covLST,covariance statististic wrt Time (Independent) and LST (Dependent) linear relationship,,
corrLST,corelation (R) statististic wrt Time (Independent) and LST (Dependent) linear relationship,,
slopeLST,Trend slope statististic wrt Time (Independent) and LST (Dependent) linear relationship,,
intLST,Trend intercept wrt Time (Independent) and LST (Dependent) linear relationship,,
tstatLST,Student's t-statististic wrt Time (Independent) and LST (Dependent) linear relationship,,
stderrLST,Standard error wrt Time (Independent) and LST (Dependent) linear relationship,,
pvalLST,p-value statististic wrt Time (Independent) and LST (Dependent) linear relationship,,
